플랫폼,시간,질문,대응
kakaoi,2021-02-05 15:34,하동발전 연료,"한국남부발전에서는 발전소별로 유연탄, LNG, 바이오중유를 사용중입니다. 발전소별로 사용중인 연료에 대해 좀더 자세하게 안내해드릴게요. * 유연탄(하동, 삼척) -> kospo.co.kr/kospo/196.subview.do * 유류, LNG, 바이오매스 -> kocpo.co.kr/kospo.197/subview.do"
kakaoi,2021-02-05 15:34,유연탄,죄송하지만.. 조금 더 제가 알아듣기 쉽게 입력해주시겠어요
kakaoi,2021-02-05 15:34,lng발전소,한국남부발전은 전기의 생산과 발전에 대한 이해를돕기 위해 발전소별 견학프로그램을 실시하고 있습니다. 사업소별 견학일정 등 견학신청에 대한 자세한 사항은 홈페이지를 통해 확인하실 수 있어요. 
kakaoi,2021-02-08 14:43,남제주,[남제주]에서 궁금하신 내용의 번호를 입력해주세요~
kakaoi,2021-02-08 14:44,남제주,[남제주]에서 궁금하신 내용의 번호를 입력해주세요~
kakaoi,2021-02-08 15:03,동반성장,"남부발전 동반성장은 중소기업과 협업을 통해 다양한 전략과 과제를 이행하며 상생하고 있어요. 다양한 지원으로 중소기업의 경쟁력을 향상시켜 주는 전략적 사업입니다. 1. 신기술 공동개발, 2. 기업경쟁력 강화, 3. 신제품 판로개척, 4. 성과유형 동반진출 사업운영궁금한 사항이 있다면 아래의 버튼을 눌러 확인할 수있어요."
kakaoi,2021-02-08 15:03,동반성장 사업,[동반성장]에서 궁금하신 내용의 번호를 입력해주세요~
kakaoi,2021-02-08 16:34,발전소 주변지역,"한국남부발전 채용 우대사항 적용대상은 다음과 같습니다.1. 등록장애인 및 취업지원대상자(보훈)2. 국민기초생활보장법에 의한 기초생활수급자 및 차상위계층3. 발전소주변지역 주민(2대 직계비속까지 인정)4. 비수도권 지역인재 및 이전지역(부산)인재※ 가산점은 10% 한도 내 중복 인정(단, 장애와 보훈 가점 중복 시 10% 초과 가능)※ 기타 추가 우대사항은 채용공고를 확인하여 주시기 바랍니다."
kakaoi,2021-02-08 16:35,발전소 주변지역,"한국남부발전 채용 우대사항 적용대상은 다음과 같습니다.1. 등록장애인 및 취업지원대상자(보훈)2. 국민기초생활보장법에 의한 기초생활수급자 및 차상위계층3. 발전소주변지역 주민(2대 직계비속까지 인정)4. 비수도권 지역인재 및 이전지역(부산)인재※ 가산점은 10% 한도 내 중복 인정(단, 장애와 보훈 가점 중복 시 10% 초과 가능)※ 기타 추가 우대사항은 채용공고를 확인하여 주시기 바랍니다."
kakaoi,2021-02-08 16:35,발전소 주변지역,"한국남부발전 채용 우대사항 적용대상은 다음과 같습니다.1. 등록장애인 및 취업지원대상자(보훈)2. 국민기초생활보장법에 의한 기초생활수급자 및 차상위계층3. 발전소주변지역 주민(2대 직계비속까지 인정)4. 비수도권 지역인재 및 이전지역(부산)인재※ 가산점은 10% 한도 내 중복 인정(단, 장애와 보훈 가점 중복 시 10% 초과 가능)※ 기타 추가 우대사항은 채용공고를 확인하여 주시기 바랍니다."
